"line.number","station_name","type"
"yellow.1","Rashtreeya Vidyalaya Road","endpoint"
"yellow.2","Ragigudda","middle"
"yellow.3","Jayadeva Hospital","connector"
"yellow.4","BTM Layout","middle"
"yellow.5","Central Silk Board","connector"
"yellow.6","Bommanahalli","middle"
"yellow.7","Hongasandra","middle"
"yellow.8","Kudlu Gate","middle"
"yellow.9","Singasandra","middle"
"yellow.10","Hosa Road","middle"
"yellow.11","Beratena Agrahara","middle"
"yellow.12","Electronic City","middle"
"yellow.13","Konappana Agrahara","middle"
"yellow.14","Huskur Road","middle"
"yellow.15","Hebbagodi","middle"
"yellow.16","Bommasandra","endpoint"
"green.1","Madavara","endpoint"
"green.2","Chikkabidaradakallu","middle"
"green.3","Manjunathanagar","middle"
"green.4","Nagasandra","middle"
"green.5","Dasarahalli","middle"
"green.6","Jalahalli","middle"
"green.7","Peenya Industry","middle"
"green.8","Peenya","middle"
"green.9","Goraguntepalya","middle"
"green.10","Yeshwantpur","middle"
"green.11","Sandal Soap Factory","middle"
"green.12","Mahalakshmi","middle"
"green.14","Rajajinagar","middle"
"green.13","Kuvempu Road","middle"
"green.15","Srirampura","middle"
"green.16","Sampige Road","middle"
"green.17","Kempegowda Stn. Majestic","connector"
"green.18","Chickpete","middle"
"green.19","Krishna Rajendra Market","middle"
"green.20","National College","middle"
"green.21","Lalbagh","middle"
"green.22","South End Circle","middle"
"green.23","Jayanagar","middle"
"green.24","Rashtreeya Vidyalaya Road","connector"
"green.25","Banashankari","middle"
"green.26","Jayaprakash Nagar","middle"
"green.27","Yelachenahalli","middle"
"green.28","Konanakunte Cross","middle"
"green.29","Doddakallasandra","middle"
"green.30","Vajarahalli","middle"
"green.31","Thalaghattapura","middle"
"green.32","Silk Institute","endpoint"
"pink.1","Nagawara","endpoint"
"pink.2","Kadugondanahalli","middle"
"pink.3","Venkateshpura","middle"
"pink.4","Tannery Road","middle"
"pink.5","Pottery Town","middle"
"pink.6","Cantonment","middle"
"pink.7","Shivajinagar","middle"
"pink.8","Mahatma Gandhi Road","connector"
"pink.9","Rashtriya Military School","middle"
"pink.10","Langford Town","middle"
"pink.11","Lakkasandra","middle"
"pink.12","Dairy Circle","middle"
"pink.13","Tavarekere","middle"
"pink.14","Jayadeva Hospital","connector"
"pink.15","JP Nagar 4th Phase","middle"
"pink.16","IIM Bangalore","middle"
"pink.17","Hulimavu","middle"
"pink.18","Kalena Agrahara","endpoint"
"purple.1","Challaghatta","endpoint"
"purple.2","Kengeri","middle"
"purple.3","Kengeri Bus Terminal","middle"
"purple.4","Pattanagere","middle"
"purple.5","Jnanabharathi","middle"
"purple.6","Rajarajeshwari Nagar","middle"
"purple.7","Nayandahalli","middle"
"purple.8","Mysuru Road","middle"
"purple.9","Deepanjali Nagar","middle"
"purple.10","Attiguppe","middle"
"purple.11","Vijayanagar","middle"
"purple.12","Hosahalli","middle"
"purple.13","Magadi Road","middle"
"purple.14","KSR City Railway Stn.","middle"
"purple.15","Kempegowda Stn. Majestic","connector"
"purple.16","Central College","middle"
"purple.17","Vidhana Soudha","middle"
"purple.18","Cubbon Park","middle"
"purple.19","Mahatma Gandhi Road","connector"
"purple.20","Trinity","middle"
"purple.21","Halasuru","middle"
"purple.22","Indiranagar","middle"
"purple.23","Swami Vivekananda Road","middle"
"purple.24","Baiyappanahalli","middle"
"purple.25","Benniganahalli","middle"
"purple.26","KR Pura","connector"
"purple.27","Singayyanapalya","middle"
"purple.28","Garudacharpalya","middle"
"purple.29","Hoodi","middle"
"purple.30","Seetharam Palya","middle"
"purple.31","Kundalahalli","middle"
"purple.32","Nallurhalli","middle"
"purple.33","Sri Sathya Sai Hospital","middle"
"purple.34","Pattandur Agrahara","middle"
"purple.35","Kadugodi Tree Park","middle"
"purple.36","Channasandra (Hopefarm)","middle"
"purple.37","Whitefield (Kadugodi)","endpoint"
"blue.1","Kempegowda International Airport","endpoint"
"blue.2","Airport City","middle"
"blue.3","Doddajala","middle"
"blue.4","Bettahalasuru","middle"
"blue.5","Bagalur Cross","middle"
"blue.6","Yelahanka","middle"
"blue.7","Jakkur Cross","middle"
"blue.8","Kodigehalli","middle"
"blue.9","Hebbal","middle"
"blue.10","Kempapura","middle"
"blue.11","Veerannapalya","middle"
"blue.12","Nagawara","connector"
"blue.13","HBR Layout","middle"
"blue.14","Kalyan Nagar","middle"
"blue.15","HRBR Layout","middle"
"blue.16","Horamavu","middle"
"blue.17","Kasturinagar","middle"
"blue.18","KR Pura","connector"
"blue.19","Mahadevapura","middle"
"blue.20","DRDO Sports Complex","middle"
"blue.21","Doddanekundi","middle"
"blue.22","ISRO (Karthik Nagar)","middle"
"blue.23","Marathahalli","middle"
"blue.24","Kadubeesanahalli","middle"
"blue.25","Devarabeesanahalli","middle"
"blue.26","Bellandur","middle"
"blue.27","Iblur","middle"
"blue.28","Agara Lake","middle"
"blue.29","HSR Layout","middle"
"blue.30","Central Silk Board","endpoint"